,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Predicted_Outlet_Sales
471,FDQ16,19.7,Low Fat,0.041908424,Frozen Foods,109.5912,OUT018,2009,Medium,Tier 3,Supermarket Type2,1502.265208270703
472,FDU44,12.15,Regular,0.058377105,Fruits and Vegetables,160.6552,OUT013,1987,High,Tier 3,Supermarket Type1,2660.2185167381876
473,FDH28,15.85,Regular,0.184169331,Frozen Foods,38.6506,OUT010,1998,Small,Tier 3,Grocery Store,89.07387731531793
474,FDV28,16.1,Regular,0.279663801,Frozen Foods,35.6558,OUT019,1985,Small,Tier 1,Grocery Store,94.53828172003044
475,FDM22,14.0,Regular,0.042042857,Snack Foods,53.864,OUT045,2002,Small,Tier 2,Supermarket Type1,827.6586217083533
476,FDR56,15.5,Regular,0.100765839,Fruits and Vegetables,196.0768,OUT046,1997,Small,Tier 1,Supermarket Type1,3265.558206562946
477,FDV39,11.3,Low Fat,0.007291207,Meat,196.8426,OUT049,1999,Medium,Tier 1,Supermarket Type1,3394.768630474025
478,FDU37,9.5,Regular,0.182980378,Canned,80.496,OUT019,1985,Small,Tier 1,Grocery Store,195.32583885710045
479,FDQ11,5.695,Regular,0.0,Breads,256.4988,OUT010,1998,Small,Tier 3,Grocery Store,609.7433061827437
480,FDX02,16.0,Low Fat,0.057175809,Dairy,223.5404,OUT045,2002,Small,Tier 2,Supermarket Type1,3560.412645414245
481,NCS42,8.6,Low Fat,0.06969924,Household,92.6146,OUT018,2009,Medium,Tier 3,Supermarket Type2,1279.5088730120362
483,FDB21,7.475,Low Fat,0.148751515,Fruits and Vegetables,241.8854,OUT049,1999,Medium,Tier 1,Supermarket Type1,4035.661671221544
484,FDE28,9.5,Regular,0.133296733,Frozen Foods,229.8668,OUT017,2007,Small,Tier 2,Supermarket Type1,3972.5488452553727
485,FDQ55,13.65,Regular,0.013111823,Fruits and Vegetables,113.2834,OUT017,2007,Small,Tier 2,Supermarket Type1,1994.753844493224
486,FDA48,12.1,Low Fat,0.115052659,Baking Goods,222.6114,OUT049,1999,Medium,Tier 1,Supermarket Type1,3829.172004946775
487,FDZ19,6.425,Low Fat,0.093644428,Fruits and Vegetables,174.3712,OUT045,2002,Small,Tier 2,Supermarket Type1,2704.4219684425593
488,NCC43,7.39,Low Fat,0.092971061,Household,252.4066,OUT045,2002,Small,Tier 2,Supermarket Type1,3777.880977696212
489,NCV18,6.775,Low Fat,0.105245865,Household,81.925,OUT046,1997,Small,Tier 1,Supermarket Type1,1258.8757873074799
490,NCA42,6.965,Low Fat,0.028664878,Household,159.0604,OUT018,2009,Medium,Tier 3,Supermarket Type2,2178.5616303757847
491,FDY45,17.5,Low Fat,0.026142114,Snack Foods,256.3356,OUT046,1997,Small,Tier 1,Supermarket Type1,4007.2404293091518
492,NCC30,16.6,Low Fat,0.027635129,Household,178.8344,OUT045,2002,Small,Tier 2,Supermarket Type1,2794.2587934336098
493,FDM57,11.65,Regular,0.075786047,Snack Foods,85.3908,OUT013,1987,High,Tier 3,Supermarket Type1,1402.246359585797
494,FDL09,19.6,Regular,0.214306131,Snack Foods,166.7816,OUT010,1998,Small,Tier 3,Grocery Store,377.62372137764424
495,FDB09,16.25,Low Fat,0.057118149,Fruits and Vegetables,124.8046,OUT027,1985,Medium,Tier 3,Supermarket Type3,3351.9974252562033
496,FDT44,16.6,Low Fat,0.102967068,Fruits and Vegetables,118.8466,OUT035,2004,Small,Tier 2,Supermarket Type1,2064.6364428583997
497,NCT06,17.1,Low Fat,0.038549965,Household,164.2842,OUT027,1985,Medium,Tier 3,Supermarket Type3,4292.908509536742
498,FDX26,17.7,Low Fat,0.087945039,Dairy,183.3292,OUT049,1999,Medium,Tier 1,Supermarket Type1,3047.979217743752
499,FDK32,16.25,Regular,0.048934817,Fruits and Vegetables,153.0682,OUT013,1987,High,Tier 3,Supermarket Type1,2545.3295032104747
500,DRA12,11.6,Low Fat,0.040945898,Soft Drinks,142.9154,OUT046,1997,Small,Tier 1,Supermarket Type1,2285.3898523526304
501,FDO46,9.6,Regular,0.023788808,Snack Foods,187.8872,OUT010,1998,Small,Tier 3,Grocery Store,458.3729227325524
502,FDE52,10.395,Regular,0.029861927,Dairy,86.6514,OUT013,1987,High,Tier 3,Supermarket Type1,1416.2575536096485
503,NCH42,6.86,Low Fat,0.036611419,Household,230.201,OUT045,2002,Small,Tier 2,Supermarket Type1,3575.816275581886
504,FDV08,7.35,Low Fat,0.028589521,Fruits and Vegetables,42.0454,OUT035,2004,Small,Tier 2,Supermarket Type1,700.2783920846297
505,FDB47,8.8,Low Fat,0.071720362,Snack Foods,210.6612,OUT018,2009,Medium,Tier 3,Supermarket Type2,3019.4779953012644
506,FDC28,7.905,Low Fat,0.09203683,Frozen Foods,110.5254,OUT010,1998,Small,Tier 3,Grocery Store,260.1171879491197
507,FDD22,10.0,Low Fat,0.099649694,Snack Foods,113.7544,OUT046,1997,Small,Tier 1,Supermarket Type1,1799.177578793404
508,FDS07,12.35,Low Fat,0.099274751,Fruits and Vegetables,115.2518,OUT027,1985,Medium,Tier 3,Supermarket Type3,3084.6053464130823
509,DRI13,15.35,Low Fat,0.020368186,Soft Drinks,216.9508,OUT045,2002,Small,Tier 2,Supermarket Type1,3572.388005936985
510,FDG32,19.85,Low Fat,0.176712457,Fruits and Vegetables,222.9772,OUT018,2009,Medium,Tier 3,Supermarket Type2,3086.134824163969
511,FDU14,17.75,Low Fat,0.034949223,Dairy,250.275,OUT017,2007,Small,Tier 2,Supermarket Type1,4166.366937164547
512,FDD28,10.695,Low Fat,0.093315935,Frozen Foods,58.7904,OUT019,1985,Small,Tier 1,Grocery Store,136.03297812736733
513,NCP41,16.6,Low Fat,0.0163024,Health and Hygiene,109.5596,OUT017,2007,Small,Tier 2,Supermarket Type1,1885.2680205136114
514,FDS08,5.735,Low Fat,0.05704978,Fruits and Vegetables,175.037,OUT049,1999,Medium,Tier 1,Supermarket Type1,2907.0292718352116
515,FDX47,6.55,Regular,0.034674522,Breads,157.5288,OUT045,2002,Small,Tier 2,Supermarket Type1,2465.487687376578
516,FDC53,8.68,Low Fat,0.015470159,Frozen Foods,100.4384,OUT019,1985,Small,Tier 1,Grocery Store,241.74415475135353
517,FDQ19,7.35,Regular,0.014362412,Fruits and Vegetables,241.1512,OUT035,2004,Small,Tier 2,Supermarket Type1,4260.4560924380285
518,FDL14,8.115,Regular,0.032224086,Canned,154.8972,OUT045,2002,Small,Tier 2,Supermarket Type1,2489.9884110949642
519,FDM33,15.6,Low Fat,0.153585858,Snack Foods,221.1798,OUT019,1985,Small,Tier 1,Grocery Store,541.810225279232
520,FDA51,8.05,Regular,0.165013572,Dairy,113.2518,OUT045,2002,Small,Tier 2,Supermarket Type1,1731.5819355761355
521,FDZ27,7.935,Low Fat,0.017226149,Dairy,48.635,OUT018,2009,Medium,Tier 3,Supermarket Type2,655.2450191761261
522,FDT04,17.25,Low Fat,0.107041738,Frozen Foods,41.2822,OUT046,1997,Small,Tier 1,Supermarket Type1,634.5693476919246
523,DRC13,8.26,Regular,0.03249201,Soft Drinks,124.773,OUT049,1999,Medium,Tier 1,Supermarket Type1,2121.2817330014796
524,FDR16,5.845,Regular,0.104509448,Frozen Foods,214.7218,OUT027,1985,Medium,Tier 3,Supermarket Type3,5776.1627034013345
525,FDQ03,15.0,Regular,0.077636468,Meat,236.2248,OUT027,1985,Medium,Tier 3,Supermarket Type3,6468.422392412896
526,FDE38,6.52,Low Fat,0.044598726,Canned,167.7842,OUT035,2004,Small,Tier 2,Supermarket Type1,2925.968860191456
527,DRH23,14.65,Low Fat,0.169493477,Hard Drinks,57.0614,OUT027,1985,Medium,Tier 3,Supermarket Type3,1440.5520290411405
528,FDT11,5.94,Regular,0.051427223,Breads,187.7556,OUT019,1985,Small,Tier 1,Grocery Store,458.2954677383072
529,FDD09,13.5,Low Fat,0.021492339,Fruits and Vegetables,179.6976,OUT035,2004,Small,Tier 2,Supermarket Type1,3170.371744901262
530,FDR40,9.1,Regular,0.0,Frozen Foods,81.9618,OUT045,2002,Small,Tier 2,Supermarket Type1,1300.7306295631709
531,FDX07,19.2,Regular,0.02304845,Fruits and Vegetables,183.495,OUT017,2007,Small,Tier 2,Supermarket Type1,3156.1385128644542
532,FDR07,21.35,Low Fat,0.077729209,Fruits and Vegetables,97.0094,OUT035,2004,Small,Tier 2,Supermarket Type1,1552.5248831579681
533,FDA51,8.05,Regular,0.165611092,Dairy,114.2518,OUT017,2007,Small,Tier 2,Supermarket Type1,1895.1220354226007
534,FDT59,13.65,Low Fat,0.027858864,Breads,230.2668,OUT019,1985,Small,Tier 1,Grocery Store,575.7146358177847
535,FDF20,12.85,Low Fat,0.033408076,Fruits and Vegetables,195.0768,OUT017,2007,Small,Tier 2,Supermarket Type1,3417.8221336836414
536,FDR13,9.895,Regular,0.028779079,Canned,114.8492,OUT045,2002,Small,Tier 2,Supermarket Type1,1876.4348793411484
537,FDY26,20.6,Regular,0.030557961,Dairy,210.2244,OUT049,1999,Medium,Tier 1,Supermarket Type1,3427.0472492723356
538,FDW04,8.985,Regular,0.058154195,Frozen Foods,129.831,OUT017,2007,Small,Tier 2,Supermarket Type1,2192.9342127553364
539,FDK52,18.25,Low Fat,0.079666936,Frozen Foods,226.9062,OUT017,2007,Small,Tier 2,Supermarket Type1,3887.5823315352345
540,FDN60,15.1,Low Fat,0.095306027,Baking Goods,157.1604,OUT049,1999,Medium,Tier 1,Supermarket Type1,2635.0330647084857
541,FDM09,11.15,Regular,0.150455041,Snack Foods,170.879,OUT019,1985,Small,Tier 1,Grocery Store,409.3272125683059
542,FDP46,15.35,Low Fat,0.074731622,Snack Foods,87.883,OUT049,1999,Medium,Tier 1,Supermarket Type1,1475.7459875050542
543,FDB50,13.0,Low Fat,0.268966279,Canned,79.1986,OUT019,1985,Small,Tier 1,Grocery Store,207.88085349862902
544,NCQ29,12.0,Low Fat,0.104392185,Health and Hygiene,258.8278,OUT049,1999,Medium,Tier 1,Supermarket Type1,4182.00258249522
545,FDP16,18.6,Low Fat,0.039104567,Frozen Foods,245.3802,OUT027,1985,Medium,Tier 3,Supermarket Type3,6441.007726729041
546,FDX33,9.195,Regular,0.117963418,Snack Foods,161.1578,OUT018,2009,Medium,Tier 3,Supermarket Type2,2261.745798962919
547,FDP07,18.2,Low Fat,0.0,Fruits and Vegetables,195.411,OUT010,1998,Small,Tier 3,Grocery Store,483.52916098369843
548,FDN22,18.85,Regular,0.138305372,Snack Foods,251.1724,OUT046,1997,Small,Tier 1,Supermarket Type1,3912.879322228522
549,FDF39,14.85,Regular,0.0,Dairy,261.691,OUT049,1999,Medium,Tier 1,Supermarket Type1,4319.090181966574
550,FDS21,19.85,Regular,0.020994235,Snack Foods,60.7194,OUT017,2007,Small,Tier 2,Supermarket Type1,983.7626510508461
551,NCM42,6.13,Low Fat,0.028297924,Household,107.1912,OUT013,1987,High,Tier 3,Supermarket Type1,1708.966189163078
552,FDK50,7.96,Low Fat,0.049660306,Canned,163.4894,OUT019,1985,Small,Tier 1,Grocery Store,399.0129249546458
553,DRF13,12.1,Low Fat,0.029637145,Soft Drinks,146.9444,OUT027,1985,Medium,Tier 3,Supermarket Type3,3925.5460503829713
554,FDH35,18.25,Low Fat,0.06049406,Starchy Foods,163.9526,OUT018,2009,Medium,Tier 3,Supermarket Type2,2265.6375771837616
555,FDP60,17.35,Low Fat,0.056146632,Baking Goods,99.5016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1420.5409411653363
556,DRJ49,6.865,Low Fat,0.013925484,Soft Drinks,130.1652,OUT027,1985,Medium,Tier 3,Supermarket Type3,3464.793335078122
557,NCT42,5.88,Low Fat,0.043574485,Household,148.3392,OUT019,1985,Small,Tier 1,Grocery Store,341.1892563273956
558,FDE38,6.52,Low Fat,0.044676513,Canned,167.6842,OUT049,1999,Medium,Tier 1,Supermarket Type1,2848.697203065558
559,FDI04,13.65,Regular,0.073025792,Frozen Foods,198.6426,OUT049,1999,Medium,Tier 1,Supermarket Type1,3431.8488944443666
560,NCH54,13.5,Low Fat,0.072816495,Household,157.892,OUT045,2002,Small,Tier 2,Supermarket Type1,2413.8041787105562
561,FDT56,16.0,Regular,0.115772125,Fruits and Vegetables,58.9246,OUT049,1999,Medium,Tier 1,Supermarket Type1,982.185129529898
562,DRD15,10.6,Low Fat,0.057027285,Dairy,232.3642,OUT018,2009,Medium,Tier 3,Supermarket Type2,3298.935171830966
563,FDV58,20.85,Low Fat,0.0,Snack Foods,193.8452,OUT013,1987,High,Tier 3,Supermarket Type1,3066.700052560242
564,FDP21,7.42,Regular,0.025780862,Snack Foods,187.0872,OUT049,1999,Medium,Tier 1,Supermarket Type1,3180.6289619433037
565,FDH05,14.35,Regular,0.090837986,Frozen Foods,232.7984,OUT013,1987,High,Tier 3,Supermarket Type1,3923.900503768109
566,FDR10,17.6,Low Fat,0.009991275,Snack Foods,161.5552,OUT027,1985,Medium,Tier 3,Supermarket Type3,4297.5449934031485
567,NCP06,20.7,Low Fat,0.039325397,Household,149.4366,OUT045,2002,Small,Tier 2,Supermarket Type1,2148.6269495740466
568,FDF33,7.97,Low Fat,0.02156897,Seafood,106.4596,OUT049,1999,Medium,Tier 1,Supermarket Type1,2005.454940265665
569,DRK37,5.0,Low Fat,0.0,Soft Drinks,188.353,OUT013,1987,High,Tier 3,Supermarket Type1,3136.6623190428872
570,DRH49,19.7,Low Fat,0.0,Soft Drinks,84.2592,OUT045,2002,Small,Tier 2,Supermarket Type1,1308.7702938360276
571,FDT58,9.0,Low Fat,0.085883187,Snack Foods,167.4816,OUT013,1987,High,Tier 3,Supermarket Type1,2696.111909137681
572,FDD41,6.765,Regular,0.087615564,Frozen Foods,104.3306,OUT018,2009,Medium,Tier 3,Supermarket Type2,1469.2799793053593
573,FDP40,4.555,Regular,0.034497126,Frozen Foods,110.3544,OUT018,2009,Medium,Tier 3,Supermarket Type2,1543.9224928027213
574,FDM51,11.8,Regular,0.025800674,Meat,101.6674,OUT027,1985,Medium,Tier 3,Supermarket Type3,2752.8276022693817
575,FDO45,13.15,Regular,0.063525167,Snack Foods,86.3856,OUT010,1998,Small,Tier 3,Grocery Store,208.1125350790936
576,FDW33,9.395,Low Fat,0.165907543,Snack Foods,106.528,OUT010,1998,Small,Tier 3,Grocery Store,249.15305318885845
577,FDY24,4.88,Regular,0.0,Baking Goods,54.1298,OUT045,2002,Small,Tier 2,Supermarket Type1,827.5344847319237
578,FDB10,10.0,Low Fat,0.112492619,Snack Foods,237.559,OUT010,1998,Small,Tier 3,Grocery Store,568.3867641549006
579,FDM40,10.195,Low Fat,0.159906706,Frozen Foods,141.7154,OUT035,2004,Small,Tier 2,Supermarket Type1,2366.821017042628
580,NCI06,11.3,Low Fat,0.0479876,Household,180.866,OUT017,2007,Small,Tier 2,Supermarket Type1,3038.1065176026354
581,FDW12,8.315,Regular,0.062282301,Baking Goods,143.5444,OUT019,1985,Small,Tier 1,Grocery Store,343.67128382895163
582,FDX48,17.75,Regular,0.03770442,Baking Goods,154.8656,OUT027,1985,Medium,Tier 3,Supermarket Type3,4144.194660943578
583,NCW05,20.25,Low Fat,0.147355554,Health and Hygiene,107.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,2693.403293611361
584,FDX27,20.7,Regular,0.114762583,Dairy,95.1436,OUT017,2007,Small,Tier 2,Supermarket Type1,1519.9923739920753
585,DRM37,15.35,Low Fat,0.09659331,Soft Drinks,198.2768,OUT045,2002,Small,Tier 2,Supermarket Type1,3211.739355267204
586,FDA38,5.44,Low Fat,0.025531593,Dairy,241.5538,OUT045,2002,Small,Tier 2,Supermarket Type1,3707.6790081011877
587,FDR36,6.715,Regular,0.121586376,Baking Goods,40.0454,OUT046,1997,Small,Tier 1,Supermarket Type1,618.57032790025
588,FDZ45,14.1,Low Fat,0.066875983,Snack Foods,198.8084,OUT046,1997,Small,Tier 1,Supermarket Type1,3239.7255855102126
589,FDG05,11.0,Regular,0.088344041,Frozen Foods,158.463,OUT017,2007,Small,Tier 2,Supermarket Type1,2677.4082841719123
590,FDK28,5.695,Low Fat,0.065535324,Frozen Foods,258.5646,OUT013,1987,High,Tier 3,Supermarket Type1,4008.0939714863016
591,FDV47,17.1,Low Fat,0.054317483,Breads,85.7566,OUT045,2002,Small,Tier 2,Supermarket Type1,1355.002710723273
592,FDN21,18.6,Low Fat,0.077011493,Snack Foods,160.5236,OUT045,2002,Small,Tier 2,Supermarket Type1,2448.593465958633
593,FDP20,19.85,Low Fat,0.045448081,Fruits and Vegetables,127.202,OUT027,1985,Medium,Tier 3,Supermarket Type3,3276.0419257634194
594,FDI35,14.0,Low Fat,0.041374909,Starchy Foods,181.7634,OUT045,2002,Small,Tier 2,Supermarket Type1,2856.2129735059743
595,DRY23,9.395,Regular,0.109005584,Soft Drinks,43.3112,OUT013,1987,High,Tier 3,Supermarket Type1,693.5038982032579
596,FDA56,9.21,Low Fat,0.008814363,Fruits and Vegetables,122.7414,OUT017,2007,Small,Tier 2,Supermarket Type1,2109.2867774367046
597,FDB09,16.25,Low Fat,0.057348328,Fruits and Vegetables,123.2046,OUT013,1987,High,Tier 3,Supermarket Type1,2037.923369566902
598,NCO26,7.235,Low Fat,0.076483451,Household,117.3492,OUT027,1985,Medium,Tier 3,Supermarket Type3,3023.4128510961664
599,FDQ49,20.2,Regular,0.039407615,Breakfast,156.563,OUT018,2009,Medium,Tier 3,Supermarket Type2,2167.953807391983
600,FDI52,18.7,Low Fat,0.104171229,Frozen Foods,122.4072,OUT027,1985,Medium,Tier 3,Supermarket Type3,3179.4103612230147
601,FDZ44,8.185,Low Fat,0.03854151,Fruits and Vegetables,117.4808,OUT027,1985,Medium,Tier 3,Supermarket Type3,3125.7956782054885
602,FDZ09,17.6,Low Fat,0.105306199,Snack Foods,164.3868,OUT018,2009,Medium,Tier 3,Supermarket Type2,2298.289225514698
603,FDY03,17.6,Regular,0.07624018,Meat,113.1202,OUT049,1999,Medium,Tier 1,Supermarket Type1,1911.838022581012
604,NCG42,19.2,Low Fat,0.041461032,Household,129.931,OUT017,2007,Small,Tier 2,Supermarket Type1,2113.5960405222822
605,DRI13,15.35,Low Fat,0.020228528,Soft Drinks,218.0508,OUT027,1985,Medium,Tier 3,Supermarket Type3,6100.101216459668
606,FDQ32,17.85,Regular,0.046569711,Fruits and Vegetables,125.6388,OUT013,1987,High,Tier 3,Supermarket Type1,2083.2751197864404
607,FDW16,17.35,Regular,0.04146639,Frozen Foods,90.9804,OUT035,2004,Small,Tier 2,Supermarket Type1,1584.0144250272203
608,FDU27,18.6,Regular,0.171476879,Meat,47.0376,OUT046,1997,Small,Tier 1,Supermarket Type1,710.2817132771356
609,FDR28,13.85,Regular,0.043345406,Frozen Foods,162.821,OUT010,1998,Small,Tier 3,Grocery Store,391.878833040822
610,FDQ49,20.2,Regular,0.065692664,Breakfast,158.163,OUT010,1998,Small,Tier 3,Grocery Store,368.17657560430297
611,FDS37,7.655,Low Fat,0.031944868,Canned,116.1492,OUT046,1997,Small,Tier 1,Supermarket Type1,1899.4674120501609
612,FDW26,11.8,Regular,0.107493292,Dairy,220.4772,OUT018,2009,Medium,Tier 3,Supermarket Type2,3187.5380662533207
613,FDX12,18.2,Regular,0.026170661,Baking Goods,241.1196,OUT018,2009,Medium,Tier 3,Supermarket Type2,3494.6959211869757
614,NCP06,20.7,Low Fat,0.039213146,Household,150.7366,OUT013,1987,High,Tier 3,Supermarket Type1,2266.4921487450583
615,FDW45,18.0,Low Fat,0.065296399,Snack Foods,145.2418,OUT010,1998,Small,Tier 3,Grocery Store,339.83434478489534
616,NCN30,16.35,Low Fat,0.017019624,Household,94.541,OUT049,1999,Medium,Tier 1,Supermarket Type1,1585.9335707238145
617,FDN24,14.1,Low Fat,0.113443531,Baking Goods,53.0956,OUT049,1999,Medium,Tier 1,Supermarket Type1,866.0285213649381
618,NCL41,12.35,Low Fat,0.04153551,Health and Hygiene,32.8216,OUT027,1985,Medium,Tier 3,Supermarket Type3,864.6122619242652
619,FDR02,16.7,Low Fat,0.03863415,Dairy,109.4886,OUT019,1985,Small,Tier 1,Grocery Store,262.4189920319006
620,FDD09,13.5,Low Fat,0.035980572,Fruits and Vegetables,180.8976,OUT010,1998,Small,Tier 3,Grocery Store,441.3438618571089
621,FDS33,6.67,Regular,0.0,Snack Foods,86.5514,OUT010,1998,Small,Tier 3,Grocery Store,208.73361057032182
622,FDU22,12.35,Low Fat,0.093485761,Snack Foods,119.6124,OUT045,2002,Small,Tier 2,Supermarket Type1,1860.178028107341
623,FDI53,8.895,Regular,0.137530409,Frozen Foods,162.5236,OUT013,1987,High,Tier 3,Supermarket Type1,2627.0654017031347
624,DRH01,17.5,Low Fat,0.098056243,Soft Drinks,175.7738,OUT049,1999,Medium,Tier 1,Supermarket Type1,2977.592123662376
625,FDX32,15.1,Regular,0.099775148,Fruits and Vegetables,142.9786,OUT013,1987,High,Tier 3,Supermarket Type1,2371.7377051151375
626,NCP30,20.5,Low Fat,0.032902177,Household,39.7822,OUT018,2009,Medium,Tier 3,Supermarket Type2,511.4942620440561
627,FDB60,9.3,Low Fat,0.028579933,Baking Goods,195.9136,OUT045,2002,Small,Tier 2,Supermarket Type1,3130.473658832563
628,FDB14,20.25,Regular,0.102883628,Canned,93.412,OUT049,1999,Medium,Tier 1,Supermarket Type1,1558.3878574290504
629,NCP02,7.105,Low Fat,0.044800289,Household,58.0562,OUT035,2004,Small,Tier 2,Supermarket Type1,942.6644460456959
630,FDJ10,5.095,Regular,0.13023619,Snack Foods,140.3838,OUT017,2007,Small,Tier 2,Supermarket Type1,2316.937244513438
631,FDG34,11.5,Regular,0.0,Snack Foods,110.5254,OUT046,1997,Small,Tier 1,Supermarket Type1,1812.8687410153666
632,NCB18,19.6,Low Fat,0.041524729,Household,87.8514,OUT017,2007,Small,Tier 2,Supermarket Type1,1425.0548314582554
633,FDM16,8.155,Regular,0.033607569,Frozen Foods,74.2354,OUT049,1999,Medium,Tier 1,Supermarket Type1,1232.9575632069086
634,FDW25,5.175,Low Fat,0.0375513,Canned,84.1224,OUT018,2009,Medium,Tier 3,Supermarket Type2,1201.5176967470352
635,FDB35,12.3,Regular,0.108158918,Starchy Foods,91.2804,OUT010,1998,Small,Tier 3,Grocery Store,218.0618825861074
636,DRN11,7.85,Low Fat,0.162844648,Hard Drinks,143.2444,OUT013,1987,High,Tier 3,Supermarket Type1,2239.1368893099498
637,FDF41,12.15,Low Fat,0.229678918,Frozen Foods,248.246,OUT019,1985,Small,Tier 1,Grocery Store,581.2805509063872
638,FDH16,10.5,Low Fat,0.05266193,Frozen Foods,88.183,OUT045,2002,Small,Tier 2,Supermarket Type1,1369.339203997723
639,NCQ50,18.75,Low Fat,0.034447102,Household,212.5218,OUT018,2009,Medium,Tier 3,Supermarket Type2,3000.3460268955864
640,DRH23,14.65,Low Fat,0.171012056,Hard Drinks,57.1614,OUT018,2009,Medium,Tier 3,Supermarket Type2,768.344197693291
641,DRJ37,10.8,Low Fat,0.061050536,Soft Drinks,151.9024,OUT013,1987,High,Tier 3,Supermarket Type1,2476.79470298285
642,DRJ24,11.8,Low Fat,0.112780422,Soft Drinks,184.7924,OUT027,1985,Medium,Tier 3,Supermarket Type3,4994.5889421764505
643,FDY16,18.35,Regular,0.092209315,Frozen Foods,183.4266,OUT035,2004,Small,Tier 2,Supermarket Type1,3171.854379944931
644,FDQ27,5.19,Regular,0.044342366,Meat,105.199,OUT045,2002,Small,Tier 2,Supermarket Type1,1633.3604486008355
645,FDZ33,10.195,Low Fat,0.107614855,Snack Foods,148.6076,OUT045,2002,Small,Tier 2,Supermarket Type1,2276.1141791869377
646,FDF29,15.1,Regular,0.019974614,Frozen Foods,131.331,OUT045,2002,Small,Tier 2,Supermarket Type1,2089.1897414462696
647,FDA08,11.85,Regular,0.050163021,Fruits and Vegetables,163.1526,OUT049,1999,Medium,Tier 1,Supermarket Type1,2773.1000076710784
648,FDG31,12.15,Low Fat,0.0,Meat,65.1826,OUT046,1997,Small,Tier 1,Supermarket Type1,1034.6914386665253
649,FDE34,9.195,Low Fat,0.0,Snack Foods,183.3634,OUT019,1985,Small,Tier 1,Grocery Store,448.0074685101098
650,NCR30,20.6,Low Fat,0.070649186,Household,73.7696,OUT027,1985,Medium,Tier 3,Supermarket Type3,1798.2421361254435
651,FDV33,9.6,Regular,0.02733844,Snack Foods,258.1304,OUT035,2004,Small,Tier 2,Supermarket Type1,4353.881162130896
652,DRZ24,7.535,Low Fat,0.0,Soft Drinks,120.244,OUT018,2009,Medium,Tier 3,Supermarket Type2,1729.3633485647629
653,NCL54,12.6,Low Fat,0.082738167,Household,173.5054,OUT035,2004,Small,Tier 2,Supermarket Type1,2936.868929528033
654,FDR12,12.6,Regular,0.031583781,Baking Goods,172.8764,OUT049,1999,Medium,Tier 1,Supermarket Type1,2963.6622770552294
655,NCC54,17.75,Low Fat,0.097710924,Health and Hygiene,241.9196,OUT046,1997,Small,Tier 1,Supermarket Type1,3856.85500985252
656,DRN59,15.0,Low Fat,0.0,Hard Drinks,45.906,OUT013,1987,High,Tier 3,Supermarket Type1,733.6556713799331
657,FDX50,20.1,Low Fat,0.130662596,Dairy,110.3228,OUT019,1985,Small,Tier 1,Grocery Store,250.32192443419353
658,FDV31,9.8,Low Fat,0.106200539,Fruits and Vegetables,178.437,OUT027,1985,Medium,Tier 3,Supermarket Type3,4765.139594430566
659,NCA29,10.5,Low Fat,0.027144323,Household,172.8106,OUT027,1985,Medium,Tier 3,Supermarket Type3,4528.3451009709615
660,FDW60,5.44,Regular,0.017088476,Baking Goods,176.837,OUT049,1999,Medium,Tier 1,Supermarket Type1,2989.1864761564825
661,FDX08,12.85,Low Fat,0.022731909,Fruits and Vegetables,182.4318,OUT017,2007,Small,Tier 2,Supermarket Type1,3176.3830847107192
662,DRD49,9.895,Low Fat,0.167691399,Soft Drinks,236.4564,OUT013,1987,High,Tier 3,Supermarket Type1,3889.9895991223957
663,FDD33,12.85,Low Fat,0.108192641,Fruits and Vegetables,231.2642,OUT046,1997,Small,Tier 1,Supermarket Type1,3792.590244929054
664,FDW35,10.6,Low Fat,0.011079996,Breads,42.2454,OUT013,1987,High,Tier 3,Supermarket Type1,680.0150161358386
665,FDJ36,14.5,Regular,0.128985562,Baking Goods,102.9332,OUT017,2007,Small,Tier 2,Supermarket Type1,1785.2363325296692
666,FDV51,16.35,Low Fat,0.032532744,Meat,166.3842,OUT035,2004,Small,Tier 2,Supermarket Type1,2873.6871143046865
667,FDW36,11.15,Low Fat,0.056932641,Baking Goods,106.4622,OUT046,1997,Small,Tier 1,Supermarket Type1,1708.3652497690935
668,FDH35,18.25,Low Fat,0.060248633,Starchy Foods,165.2526,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.818289879326
669,NCS30,5.945,Low Fat,0.092575723,Household,130.9652,OUT027,1985,Medium,Tier 3,Supermarket Type3,3333.893732517025
670,FDN49,17.25,Regular,0.125932787,Breakfast,38.248,OUT017,2007,Small,Tier 2,Supermarket Type1,649.1821717714208
671,FDL08,10.8,Low Fat,0.04992156,Fruits and Vegetables,246.0144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3504.935491918853
672,FDI09,20.75,Regular,0.129229963,Seafood,240.088,OUT013,1987,High,Tier 3,Supermarket Type1,4221.948812373603
673,FDP19,11.5,Low Fat,0.174222894,Fruits and Vegetables,129.4652,OUT018,2009,Medium,Tier 3,Supermarket Type2,1803.4162271328562
674,FDU21,11.8,Regular,0.128414313,Snack Foods,33.0558,OUT010,1998,Small,Tier 3,Grocery Store,78.45106032469857
